username,date,score,version,text
"Amzr Gallery","2023-04-16T01:49:06.330Z",5,null,"sangaat baikk"
"Azay saputri","2023-04-15T23:43:17.476Z",5,"6.56.0","Aplikasinya mendidik dan manyenangkan"
"Ai Kurniasih","2023-04-15T22:00:33.866Z",5,null,"Aplikasi nya bagus banget allhamdulillah udh dapet izin cmn 1 semester tapi baguss banget rangking aku naik jadi ke 1 dari ke 2 keren ruang guru, rencana mau langganan brain academy"
"Yavi Al mun'im","2023-04-15T15:37:10.746Z",5,"6.56.0","bagus,sangat membantu.namun,saya mau download di pc tidak bisa,halaman error404.mohon bantuan nya"
"Nam Jr","2023-04-15T15:12:23.581Z",5,null,"Intinya bagus"
"Park Seul","2023-04-15T05:17:29.793Z",5,"6.55.0","Bagus 🥺 bangat bantu untuk belajar berguna deh 🤗❤"
"Rafaela Joyly Chesya Miracle","2023-04-15T03:36:38.593Z",3,null,"Ada kendala akhir-akhir ini setiap saya pakai aplikasinya. Sering sekali setiap mau lihat video pembelajaran pasti ada tulisan gagal memuat video, dan kalau pun setelah itu bisa diputar tidak selang lama akan kembali loading lain dan muncul tulisan yg sama."
"Pipit O.","2023-04-15T02:34:40.661Z",5,"6.55.0","Mantap... Bagus..."
"Azzam Aulian","2023-04-15T01:06:59.131Z",5,null,"Membantu sekali . Mantaaap"
"afifah nabila","2023-04-14T20:54:38.634Z",5,"6.55.0","aplikasi ini sangat membantuku belajar :)"
"YULIANUS TUPA TUPA","2023-04-14T11:17:15.487Z",1,null,"Maaf ya tapi ini tu pakai data... Maunya gak pake biar gampang di akses apalagi yg pulau terpencil yang gak ada internet kan susah.... Jadi susah mau pakai aplikasi ini😔😔"
"Aqila A","2023-04-14T08:16:56.315Z",5,"6.56.0","ga nyesel berlangganan di rg 🫂 untuk tryout premium dari segi soal maupun pembahasan sangat bagus. materi pembelajaran juga dijelaskan secara detail 💫"
"Defri","2023-04-14T00:05:58.535Z",5,"6.55.0","Tolong,kenapa rangkuman yang udah didownload tidak muncul gambarnya"
"Julietta Zafarani","2023-04-13T10:26:17.315Z",5,"6.55.0","Mohon diperbaiki masalah avatarnya , yang bawahannya biasanya ada yang kayak melar gitu padahal aslinya tidak.."
"First Pos namaya Yoyoman Natasha","2023-04-13T09:15:32.559Z",5,"6.55.0","Out"
