username,date,score,version,text
"Sipaaa 0207 (Sipaaa)","2023-01-14T12:39:06.326Z",5,"6.6.0","Bagus aplikasi nya ko aku juga udah langganan tapi gimana cara balikin akun sebelumnya soal nya kehapus gasengaja plisssss udah download lagi pake email yg sama sandi sama ttp ga balik"
"Hasan","2023-01-12T12:41:11.855Z",1,"6.6.0","Akun saya tiba tiba hilang sendiri"
"Riyan Alfariz","2023-01-12T00:40:16.978Z",5,"6.6.0","Cocok untuk siswa"
"Lara Julianti","2023-01-11T09:20:04.151Z",1,"6.6.0","Quipper suka tidak jelas. suka kadaluarsa tiba tiba, suka ke restart sendiri. tolong diperbaiki..."
"Ahmada Rahman Habibi","2023-01-09T20:16:19.609Z",1,null,"Aplikasinya lemot banget, materinya juga tidak lengkap, apa-apaan nih"
"Wiwid Wiwid","2023-01-05T12:55:41.869Z",4,"6.6.0","Jaringan sudah Bagus tapi tetap nggak bisa keputar video nya"
"Siti Badriah","2022-12-24T23:57:05.468Z",5,"6.6.0","Bausss"
"Anisa Rudianti","2022-12-23T13:48:05.740Z",5,"6.4.1","･ω･ ✿"
"Regina Marbun","2022-12-22T06:07:31.630Z",5,null,"aplikasi nya keren"
"Josep Kalit","2022-12-14T10:07:37.914Z",1,"6.3.2","Tidak ada psikotess :("
"Camus Saycer","2022-12-11T09:12:32.360Z",5,"6.3.2","bagus kok"
"Madi Ganteng","2022-12-10T15:33:01.500Z",1,"6.5.0","💢 cinta, bkn halaman."
"Alexander Sitorus","2022-12-08T14:58:42.399Z",5,"6.3.2","sangat membantu"
"Sri Aulina","2022-12-06T12:53:53.771Z",5,"6.4.1","saya harus semangat ☺"
"Fitommrwnd","2022-12-05T11:47:04.923Z",5,"6.5.0","madep tiriz"
"Zyd 9E","2022-12-05T07:15:43.342Z",3,"6.3.2","Saya Kasih Bintang 3 Dlu Pertanyaan Saya Kok Soal Nya Gk Bisa Di Salin Kenapa? padahal Dlu Bisa Kok Sekarang Gak Bisa?"
"Roni Adrisn","2022-12-04T22:29:49.613Z",5,"6.4.1","Saya dari ujian pertama kelas 7 sangat puas memakai quiperr"
"M Kausar Januarta","2022-12-03T23:19:20.712Z",5,null,"Mudah mudahan ya Allah hamba bisa naik kelas 9 AMIIIIIIIIIIIIII.N"
"4. Andy Mal Saputra","2022-12-02T23:51:39.529Z",4,"6.5.0","untuk saat ini masih bingung dengan interface appnya. bingung dimana tempat latihan ujiannya, semoga aja update nanti ada menu latihan soal/ujiannya sendiri supaya mudah"
"ONFS ķèpòwìò","2022-12-02T10:03:35.358Z",5,null,"Ok"
"alfat hidayatun ilmiah","2022-12-01T13:56:44.257Z",1,"6.3.2","Ribet susah mending jgn nyesal dh klo dh langganan ribet cuy berbelit belit mending nntn ytb ae beres"
"Dwi Handayani","2022-12-01T13:53:50.451Z",3,"6.5.0","Habis di update bukanya tambah lancar malah ga bisa dibuka vidio sama latihan soalnya, padahal sebelum di update lancar aja jaringan nya. Mohon diperbaiki lagi pihak quipper saya sudah bayar buat 1 tahun jadi tidak terpakai kalau begini😥"
